file,group,t_min,GFP.background,GFP.total,GFP.p999,GFP.peak,GFP.area,ESID.background,set_Offset,set_DigitalGain,set_LaserScanPixelTime,set_Power,set_Attenuation,set_PinholeSizeAiry,timestamp
oliDA_1en5_stack_18_,OliDA 1/5,218.36597532,142.0,394578457.0,1049.5610000002198,2318.729713912664,4.237834453333334,439.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:05:33.1261631Z
oliDA_1en5_stack_19_,OliDA 1/5,223.8286210983333,141.0,390420173.0,916.0,6674.342909159619,5.860130454999999,437.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:11:00.8849098Z
oliDAD9_1en5_stack,OliDAD9 1/5,234.7375450533333,141.0,390293546.0,944.0,4762.860651739177,6.124995108333333,447.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:21:55.4203471Z
oliDAD9_1en5_stack_2_,OliDAD9 1/5,238.245512365,142.0,394166688.0,909.5610000002198,4177.977477631776,5.4297253933333325,418.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:25:25.8983858Z
oliDAD9_1en5_stack_3_,OliDAD9 1/5,241.87662005166663,140.0,385139256.0,758.0,3973.559224931911,5.760806209999999,439.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:29:03.764847Z
oliDAD9_1en5_stack_4_,OliDAD9 1/5,245.21134412166663,139.0,378985756.0,728.0,4651.904905370656,5.562157719999999,446.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:32:23.8482912Z
oliDAD9_1en5_stack_5_,OliDAD9 1/5,249.44120272166668,141.0,384924303.0,812.0,4699.298557338912,6.025670863333332,446.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:36:37.6398072Z
oliDAD9_1en5_stack_6_,OliDAD9 1/5,252.7895109,139.0,380291219.0,881.0,1574.699774249454,5.959454699999999,448.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:39:58.5382979Z
oliDAD9_1en5_stack_7_,OliDAD9 1/5,256.3779661483333,139.0,385589018.0,1002.0,8277.62955093247,6.588508251666666,446.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:43:33.8456128Z
oliDAD9_1en5_stack_8_,OliDAD9 1/5,262.13426205666667,141.0,391469746.0,985.5610000002198,4788.031531292586,5.9263466183333335,444.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:49:19.2233673Z
oliDAD9_1en5_stack_9_,OliDAD9 1/5,265.77087005833334,140.0,390161752.0,1005.0,3706.569813073142,6.191211271666667,441.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T19:52:57.4198474Z
oliDAD9_1en5_stack_10_,OliDAD9 1/5,290.834303605,141.0,389545640.0,869.0,4429.483993490582,5.16486074,434.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:18:01.2258602Z
oliDAD9_1en5_stack_11_,OliDAD9 1/5,295.85934102,141.0,391977997.0,1001.5610000002198,5627.29647226227,5.098644576666667,439.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:23:02.7281051Z
oliDAD9_1en5_stack_12_,OliDAD9 1/5,299.07572498666667,140.0,391976419.0,875.5610000002198,4309.379895166724,6.158103189999999,431.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:26:15.7111431Z
oliDAD9_1en5_stack_13_,OliDAD9 1/5,302.7226835816667,141.0,384796916.0,775.0,3163.888450234537,6.35675168,379.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:29:54.5286588Z
oliDAD9_1en5_stack_14_,OliDAD9 1/5,305.697620405,140.0,388294912.0,972.0,4839.7756626978,5.827022373333333,445.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:32:53.0248682Z
oliDAD9_1en5_stack_15_,OliDAD9 1/5,309.12453308,141.0,390908497.0,796.0,3622.1169237406543,5.992562781666666,435.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:36:18.6396287Z
oliDAD9_1en5_stack_16_,OliDAD9 1/5,312.58861454666663,142.0,398072600.0,1002.0,5928.278695938264,6.224319353333332,439.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:39:46.4845167Z
oliDAD9_1en5_stack_17_,OliDAD9 1/5,315.51208176,141.0,389068218.0,802.0,2563.625945415038,6.025670863333333,443.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:42:41.8925495Z
oliDAD9_1en5_stack_18_,OliDAD9 1/5,319.72485605,141.0,391718525.0,886.5610000002198,4980.923096448384,4.403374861666666,438.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:46:54.6590069Z
oliDAD9_1en5_stack_19_,OliDAD9 1/5,323.238607025,141.0,393309375.0,984.0,5270.876162722427,5.959454699999998,432.0,100,1,4.121212121212121e-06,10,0.995,39.368267706482,2026-08-13T20:50:25.4840654Z
