file,timestamp,px_um,z_um,set_PinholeSizeAiry,set_Voltage,set_DigitalGain,set_Offset,set_Power,set_ExcitationWavelength,set_LaserScanPixelTime,set_BitsPerPixel,set_Attenuation,set_Zoom,group,n_channels,ZsGr1.background,ZsGr1.p01,ZsGr1.p99,ZsGr1.p999,ZsGr1.total,ZsGr1.mad,ZsGr1.sat_frac,ZsGr1.offset,ZsGr1.n_voxels,ESID.background,ESID.p01,ESID.p99,ESID.p999,ESID.total,ESID.mad,ESID.sat_frac,ESID.offset,ESID.n_voxels,t_min
oliDAD9 1en5 stack (19).czi,2026-08-13T20:50:25.4840654Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,133.0,266.0,984.0,393309375.0,3.0,0.0,100.0,2621440.0,432.0,128.0,472.0,479.0,1051186386.0,23.0,0.0,0.0,2621440.0,323.238607025
oliDAD9 1en5 stack (20).czi,2026-08-13T20:55:23.2850986Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",OliDAD9 1/5,2,141.0,134.0,239.0,812.0,391290278.0,3.0,0.0,100.0,2621440.0,442.0,111.0,470.0,476.0,991572777.0,17.0,0.0,0.0,2621440.0,328.20195757833335
DA140uM stack.czi,2026-08-13T21:18:16.5766464Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",DA 140uM,2,141.0,134.0,277.0,894.0,394991703.0,3.0,0.0,100.0,2621440.0,444.0,165.0,472.0,478.0,1082574941.0,13.0,0.0,0.0,2621440.0,351.0901500416667
DA140uM stack (2).czi,2026-08-13T21:22:09.0629439Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",DA 140uM,2,141.0,134.0,247.0,897.5610000002198,389426399.0,2.0,0.0,100.0,2621440.0,439.0,108.0,468.0,474.0,1027964534.0,14.0,0.0,0.0,2621440.0,354.96492166666667
DA140uM stack (3).czi,2026-08-13T21:25:02.9288884Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",DA 140uM,2,139.0,132.0,249.0,980.0,386208997.0,2.0,0.0,100.0,2621440.0,447.0,191.0,476.0,483.0,1128220700.0,12.0,0.0,0.0,2621440.0,357.86268740833333
DA140uM stack (4).czi,2026-08-13T21:28:29.6747136Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",DA 140uM,2,139.0,132.0,301.0,1524.5610000002198,396578904.0,3.0,0.0,100.0,2621440.0,442.0,118.0,470.0,476.0,1065777315.0,12.0,0.0,0.0,2621440.0,361.3084511616667
DA140uM stack (5).czi,2026-08-13T21:31:16.8552758Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",DA 140uM,2,139.0,131.0,260.0,1014.0,387169495.0,3.0,0.0,100.0,2621440.0,448.0,125.0,476.0,483.0,1079317015.0,12.0,0.0,0.0,2621440.0,364.094793865
DA140uM stack (6).czi,2026-08-13T21:35:00.7260805Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",DA 140uM,2,139.0,132.0,269.0,1017.0,389987435.0,3.0,0.0,100.0,2621440.0,451.0,148.0,481.0,487.0,1103882642.0,13.0,0.0,0.0,2621440.0,367.82597394333334
DA140uM stack (7).czi,2026-08-13T21:38:00.3813562Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",DA 140uM,2,139.0,132.0,233.0,838.0,381565874.0,2.0,0.0,100.0,2621440.0,445.0,119.0,472.0,479.0,1080480088.0,12.0,0.0,0.0,2621440.0,370.8202285383333
DA140uM stack (8).czi,2026-08-13T21:42:10.2016451Z,0.44566127232142844,3.0,1.0747950819672116,580.00564575195,1,0,10,504,,16,0.995,"1.4,1.4",DA 140uM,2,141.0,134.0,257.0,819.0,389187923.0,2.0,0.0,100.0,2621440.0,444.0,132.0,474.0,481.0,1076165918.0,13.0,0.0,0.0,2621440.0,374.98390002
